frames,position.x_diff2,position.y_diff2,position.z_diff2,rotation.x_diff2,rotation.y_diff2,rotation.z_diff2,rotation.w_diff2,Spine Front-Back_diff2,Spine Left-Right_diff2,Spine Twist Left-Right_diff2,Chest Front-Back_diff2,Chest Left-Right_diff2,Chest Twist Left-Right_diff2,Neck Nod Down-Up_diff2,Neck Tilt Left-Right_diff2,Neck Turn Left-Right_diff2,Head Nod Down-Up_diff2,Head Tilt Left-Right_diff2,Head Turn Left-Right_diff2,Left Upper Leg Front-Back_diff2,Left Upper Leg In-Out_diff2,Left Upper Leg Twist In-Out_diff2,Left Lower Leg Stretch_diff2,Left Lower Leg Twist In-Out_diff2,Left Foot Up-Down_diff2,Left Foot Twist In-Out_diff2,Right Upper Leg Front-Back_diff2,Right Upper Leg In-Out_diff2,Right Upper Leg Twist In-Out_diff2,Right Lower Leg Stretch_diff2,Right Lower Leg Twist In-Out_diff2,Right Foot Up-Down_diff2,Right Foot Twist In-Out_diff2,Left Shoulder Down-Up_diff2,Left Shoulder Front-Back_diff2,Left Arm Down-Up_diff2,Left Arm Front-Back_diff2,Left Arm Twist In-Out_diff2,Left Forearm Stretch_diff2,Left Forearm Twist In-Out_diff2,Left Hand Down-Up_diff2,Left Hand In-Out_diff2,Right Shoulder Down-Up_diff2,Right Shoulder Front-Back_diff2,Right Arm Down-Up_diff2,Right Arm Front-Back_diff2,Right Arm Twist In-Out_diff2,Right Forearm Stretch_diff2,Right Forearm Twist In-Out_diff2,Right Hand Down-Up_diff2,Right Hand In-Out_diff2
0,-0.6184081,-0.02167449,0.2562208,0.04383159,0.1871905,0.0825749,-0.9989991,0.1292723,0,0.2018884,-0.05848677,0.06642765,0.02968223,-0.08075123,-0.2143771,0.3401971,-0.08697417,-0.2289179,0.4365,0.0527303,0.5104689,-0.4769932,0,0.4721591,-0.0728056,-0.3246613,0,0.6330258,-0.1462074,0,0.07488614,0,-0.5182062,-0.2452595,0,-0.6390573,0.09860355,0.06215283,-0.2168652,0.06732886,0.2040963,-0.1152866,0,0,-0.608282,0.08509436,0.2008854,-0.1394434,-0.04759472,0,0.1057791
1,0.6184081,0.02167449,-0.2562208,-0.04383159,-0.1871905,-0.0825749,0.9989991,-0.1292723,0,-0.2018884,0.05848677,-0.06642765,-0.02968223,0.08075123,0.2143771,-0.3401971,0.08697417,0.2289179,-0.4365,-0.0527303,-0.5104689,0.4769932,0,-0.4721591,0.0728056,0.3246613,0,-0.6330258,0.1462074,0,-0.07488614,0,0.5182062,0.2452595,0,0.6390573,-0.09860355,-0.06215283,0.2168652,-0.06732886,-0.2040963,0.1152866,0,0,0.608282,-0.08509436,-0.2008854,0.1394434,0.04759472,0,-0.1057791
2,-4.63191E-07,-2.15841E-06,5.110377E-05,-0.0219158,1.458143E-06,-5.794637E-07,-1.490145E-08,1.724418E-05,0,-1.522637E-06,0.02924338,2.999168E-07,-0.01484112,3.325052E-05,-7.348254E-06,-1.070733E-05,0.0002081919,-2.727356E-05,-2.554648E-05,-0.02636515,1.898572E-05,4.045489E-05,0,-4.588801E-05,-3.821404E-05,-1.445496E-05,0,3.249002E-05,-2.143964E-05,0,-7.267802E-07,0,2.227035E-05,1.387779E-17,0,3.532883E-06,-3.895863E-05,2.560624E-06,1.321669E-05,-7.09097E-06,2.378703E-06,-0.0002110124,0,0,-6.551546E-07,1.90882E-06,0.0002788936,-0.0002653495,0.02379736,0,-8.481357E-06
3,4.63191E-07,2.15841E-06,-5.110377E-05,0.0219158,-1.458143E-06,5.794637E-07,1.490145E-08,-1.724418E-05,0,1.522637E-06,-0.02924338,-2.999168E-07,0.01484112,-3.325052E-05,7.348254E-06,1.070733E-05,-0.0002081919,2.727356E-05,2.554648E-05,0.02636515,-1.898572E-05,-4.045489E-05,0,4.588801E-05,3.821404E-05,1.445496E-05,0,-3.249002E-05,2.143964E-05,0,7.267802E-07,0,-2.227035E-05,-1.387779E-17,0,-3.532883E-06,3.895863E-05,-2.560624E-06,-1.321669E-05,7.09097E-06,-2.378703E-06,0.0002110124,0,0,6.551546E-07,-1.90882E-06,-0.0002788936,0.0002653495,-0.02379736,0,8.481357E-06
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.005419701,0,0,0,-0.02064343,8.95551E-17,-1.110223E-16,0,0,0,1.110223E-16,0,0.02017118,5.20417E-18,0,0.02163945,-4.87891E-18,0,0,0,0,0,0,0,1.665335E-16,0,-1.110223E-16,0,0,-0.01872117,0,2.775558E-17,1.561251E-17,0,0,-0.02463141,5.551115E-17,-1.110223E-16,-0.01682867,0,0.02892716,0,0,0,-0.02127454,0,-1.110223E-16,0,0,-0.02644052
7,0,-0.005419701,0,0,0,0.02064343,-8.95551E-17,1.110223E-16,0,0,0,-1.110223E-16,0,-0.02017118,-5.20417E-18,0,-0.02163945,4.87891E-18,0,0,0,0,0,0,0,-1.665335E-16,0,1.110223E-16,0,0,0.01872117,0,-2.775558E-17,-1.561251E-17,0,0,0.02463141,-5.551115E-17,1.110223E-16,0.01682867,0,-0.02892716,0,0,0,0.02127454,0,1.110223E-16,0,0,0.02644052
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.0001509026,0,0.005525787,0,0.0001247399,0,-6.409486E-06,-0.01616335,0,-4.478785E-05,0,0.0001101289,0,0,-0.001443344,-0.001618008,0,-0.0009027281,-0.0007786023,0,-0.0005461441,-0.01424691,0,0.009700818,-0.003332841,-0.002346684,0,0.004202369,-0.005176725,0,0,0,0.002978051,-5.45111E-07,0,0.0004403444,0,0.0005819354,0.00225363,0,0.0001408417,-0.02260734,0,0,0.0002673592,0,0.003481872,-0.01066902,0,0,0
15,0.0001509026,0,-0.005525787,0,-0.0001247399,0,6.409486E-06,0.01616335,0,4.478785E-05,0,-0.0001101289,0,0,0.001443344,0.001618008,0,0.0009027281,0.0007786023,0,0.0005461441,0.01424691,0,-0.009700818,0.003332841,0.002346684,0,-0.004202369,0.005176725,0,0,0,-0.002978051,5.45111E-07,0,-0.0004403444,0,-0.0005819354,-0.00225363,0,-0.0001408417,0.02260734,0,0,-0.0002673592,0,-0.003481872,0.01066902,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
