frames,position.x_diff,position.y_diff,position.z_diff,rotation.x_diff,rotation.y_diff,rotation.z_diff,rotation.w_diff,Spine Front-Back_diff,Spine Left-Right_diff,Spine Twist Left-Right_diff,Chest Front-Back_diff,Chest Left-Right_diff,Chest Twist Left-Right_diff,Neck Nod Down-Up_diff,Neck Tilt Left-Right_diff,Neck Turn Left-Right_diff,Head Nod Down-Up_diff,Head Tilt Left-Right_diff,Head Turn Left-Right_diff,Left Upper Leg Front-Back_diff,Left Upper Leg In-Out_diff,Left Upper Leg Twist In-Out_diff,Left Lower Leg Stretch_diff,Left Lower Leg Twist In-Out_diff,Left Foot Up-Down_diff,Left Foot Twist In-Out_diff,Right Upper Leg Front-Back_diff,Right Upper Leg In-Out_diff,Right Upper Leg Twist In-Out_diff,Right Lower Leg Stretch_diff,Right Lower Leg Twist In-Out_diff,Right Foot Up-Down_diff,Right Foot Twist In-Out_diff,Left Shoulder Down-Up_diff,Left Shoulder Front-Back_diff,Left Arm Down-Up_diff,Left Arm Front-Back_diff,Left Arm Twist In-Out_diff,Left Forearm Stretch_diff,Left Forearm Twist In-Out_diff,Left Hand Down-Up_diff,Left Hand In-Out_diff,Right Shoulder Down-Up_diff,Right Shoulder Front-Back_diff,Right Arm Down-Up_diff,Right Arm Front-Back_diff,Right Arm Twist In-Out_diff,Right Forearm Stretch_diff,Right Forearm Twist In-Out_diff,Right Hand Down-Up_diff,Right Hand In-Out_diff
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.6184081,-0.02167449,0.2562208,0,0.1871905,0.0825749,-0.9989991,0.1292723,0,0.2018884,0,0.06642765,0,0,-0.2143771,0.3401971,-0.08697417,-0.2289179,0.4365,0,0.5104689,-0.4769932,0,0.4721591,-0.0728056,-0.3246613,0,0.6330258,-0.1462074,0,0.07488614,0,-0.5182062,-0.2452595,0,-0.6390573,0.09860355,0.06215283,-0.2168652,0.06732886,0.2040963,-0.1152866,0,0,-0.608282,0.08509436,0.2008854,-0.1394434,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-4.63191E-07,0.01083724,5.110377E-05,0,1.458143E-06,-5.794637E-07,-1.490145E-08,1.724418E-05,0,-1.522637E-06,0,2.999168E-07,0,0,-7.348254E-06,-1.070733E-05,0.04348708,-2.727356E-05,-2.554648E-05,0,1.898572E-05,4.045489E-05,0,-4.588801E-05,0.0364028,-1.445496E-05,0,3.249002E-05,-2.143964E-05,0,-0.03744307,0,2.227035E-05,1.680513E-17,0,3.532883E-06,-0.04930178,2.560624E-06,1.321669E-05,-0.03366443,2.378703E-06,0.05764331,0,0,-6.551546E-07,-0.04254718,0.0002788936,-0.0002653495,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,-0.02064343,8.95551E-17,-0.03232669,0,0,0,-0.01660706,0,0,3.469447E-18,0,0,0,0,0,0,0,0,0,0,5.551115E-17,0,-1.110223E-16,0.03656257,0,0,0,6.938894E-18,2.125036E-17,0,0,0,-0.01553949,-1.110223E-16,0,1.110223E-16,0,0,0,0,0,-5.551115E-17,0.03499351,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
