frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
10,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.001000871,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
11,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.001000871,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
12,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.001000871,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
13,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.001000871,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
14,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.001000871,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
15,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.001000871,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
16,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
17,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
18,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
19,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
20,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
21,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
22,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
23,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
24,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
25,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
26,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
27,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
28,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
29,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
30,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
31,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009944612,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
32,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
33,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
34,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
35,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
36,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
37,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
38,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
39,0.3798179,0.2191034,0.5929461,0.6793044,0.7252137,0.7191547,0.0009790373,0.6229045,0.2160142,0.3429632,0.6020514,0.6308638,0.477363,0.7580307,0.006499091,0.8145081,0.7577428,0.005333573,0.7827529,0.5079377,0.9097145,0.487056,0.9409947,0.6524094,0.3062061,0.4681449,0.5420939,0.983717,0.8186734,0.9017748,0.2405252,0.4571263,0.09142634,0.008351827,0.7575669,0.2482945,0.7863083,0.3385763,0.7947829,0.8593379,0.3818201,0.7946682,1.149509E-05,0.9999827,0.09110051,0.8271711,0.4350497,0.8370284,0.7996033,0.1737095,0.6748458
